result,play,increment_code,rating_adv,ECO,opening_ply,first_move,second_move,third_move,fourth_move,fifth_move,sixth_move,seventh_move,eighth_move,ninth_move,tenth_move
Normal,Blitz,180+0,623,D20,Queen's Gambit Accepted,d4,d5,c4,dxc4,Nc3,e5,d5,Nf6,e4,b5
Normal,Blitz,180+0,623,C40,Gunderam Defense,e4,e5,Nf3,Qe7,Nc3,d6,Bc4,c6,O-O,Be6
Time forfeit,Blitz,180+0,600,E11,Bogo-Indian Defense: Wade-Smyslov Variation,d4,Nf6,c4,e6,Nf3,Bb4,Bd2,a5,g3,b6
Normal,Blitz,180+0,594,B00,"Nimzowitsch Defense: Scandinavian Variation,Advance Variation",e4,Nc6,d4,d5,e5,Bf5,Nf3,Qd7,Nh4,Be6
Normal,Classical,480+0,580,A04,Zukertort Opening: Slav Invitation,Nf3,c6,g3,d5,Bg2,Bg4,O-O,Nd7,d4,Qc7 
Normal,Blitz,300+0,571,A58,"Benko Gambit Accepted,Fully Accepted Variation",d4,Nf6,c4,c5,d5,b5,cxb5,a6,bxa6,Bxa6
Normal,Blitz,180+0,570,A52,Budapest Defense: Adler Variation,d4,Nf6,c4,e5,dxe5,Ng4,Nf3,Bc5,e3,Nc6
Normal,Blitz,180+0,570,C00,French Defense: Normal Variation,e4,e6,d4,Nc6,Nc3,d5,Nf3,Bb4,exd5,Qxd5
Time forfeit,Blitz,300+0,568,B27,Sicilian Defense: Hyperaccelerated Dragon,e4,c5,Nf3,g6,c3,Bg7,d4,cxd4,cxd4,d5
Normal,Blitz,180+0,567,B00,Owen Defense,e4,b6,d4,Bb7,Nc3,e6,a3,Nc6,Nf3,f6
Normal,Blitz,180+0,566,D45,Semi-Slav Defense: Main Line,d4,d5,c4,c6,Nc3,e6,Nf3,Nf6,e3,Be7
Normal,Classical,480+0,560,A04,Reti Opening #2,Nf3,Nf6,g3,c5,c4,d6,Nc3,Bg4,Bg2,Nc6
Normal,Classical,480+0,553,A04,Zukertort Opening: Slav Invitation,Nf3,c6,g3,d5,Bg2,Bf5,O-O,e5,d3,Bd6 
Normal,Blitz,180+0,548,B00,Nimzowitsch Defense: Williams Variation,e4,Nc6,Nf3,d6,d4,Bg4,Nc3,Nf6,Be3,g6 
Normal,Blitz,180+0,540,A41,Old Indian Defense,d4,d6,c4,e6,e4,f6,Nc3,Qe7,Nf3,g5
Normal,Classical,480+0,537,A04,Reti Opening #2,Nf3,Nf6,g3,c6,Bg2,d5,O-O,Nbd7,d4,e6 
Time forfeit,Blitz,180+0,537,B03,Alekhine Defense #3,e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,Nf3,Bg4 
Time forfeit,Blitz,180+0,535,C25,Vienna Game: Paulsen Variation,e4,e5,Nc3,Nc6,g3,Nf6,Bg2,b6,Nge2,Bb7 
Time forfeit,Classical,300+8,535,A04,Zukertort Opening: Pirc Invitation,Nf3,d6,d4,Bf5,c4,Nc6,d5,Nb4,Na3,e5
Normal,Blitz,180+0,534,C12,"French Defense: MacCutcheon Variation,Dr. Olland (Dutch) Variation",d4,Nf6,Nc3,d5,Bg5,e6,e4,Bb4,e5,h6
Time forfeit,Classical,360+3,520,B07,Pirc Defense #4,e4,d6,Qh5,Nf6,Qe2,e5,Nc3,g6,d3,Bg7 
Normal,Blitz,180+0,516,A00,Kadas Opening: Kadas Gambit #3,h4,e5,d4,exd4,c3,dxc3,Nxc3,Nf6,e4,Bb4
Normal,Blitz,180+0,514,D00,Queen's Pawn Game: Mason Attack,d4,d5,Bf4,Nf6,e3,e6,Nd2,Bd6,Bg3,c5
Normal,Blitz,180+0,512,D12,"Slav Defense: Quiet Variation,Pin Defense",d4,d5,c4,c6,e3,Nf6,Nf3,Bg4,h3,Bh5
Normal,Blitz,180+0,507,A46,Indian Game: London System,d4,Nf6,Nf3,e6,Bf4,c5,c3,cxd4,cxd4,Qb6 
Normal,Blitz,180+0,501,A41,Queen's Pawn,d4,d6,Nc3,f6,e4,e5,Nf3,Be6,Be3,c6
Normal,Classical,540+0,498,A07,King's Indian Attack: Yugoslav Variation,Nf3,d5,g3,Nf6,Bg2,c6,O-O,Bg4,d3,Nbd7 
Normal,Blitz,300+0,498,A01,Nimzo-Larsen Attack,b3,g6,Bb2,f6,h4,h5,e3,Bg7,Bd3,Kf7
Normal,Blitz,180+0,491,C01,"French Defense: Exchange Variation,Monte Carlo Variation",e4,e6,d4,d5,exd5,exd5,c4,Nf6,Nc3,c6 
Normal,Classical,300+8,485,A08,King's Indian Attack,Nf3,d5,g3,Nf6,Bg2,Nc6,d4,g6,O-O,Bg7
Time forfeit,Blitz,180+0,482,D32,Tarrasch Defense,c4,e6,d4,d5,Nc3,c5,e3,cxd4,exd4,Nc6
Normal,Blitz,180+0,480,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,e4,c5,Nf3,Nc6,Bb5,a6,Bxc6,bxc6,O-O,g6
Normal,Blitz,180+0,476,D01,"Queen's Pawn Game: Veresov Attack,Boyce Defense",d4,Nf6,Nc3,d5,Bg5,Ne4,Nxe4,dxe4,e3,Bf5
Normal,Blitz,300+0,474,B32,Sicilian Defense: Open #3,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,a6,Bc4,e6
Normal,Classical,420+2,473,C48,Four Knights Game: Spanish Variation,e4,e5,Nf3,Nc6,Nc3,Nf6,Bb5,Bd6,d3,h6
Normal,Blitz,180+2,472,A11,English Opening: Caro-Kann Defensive System,c4,c6,Nf3,d5,e3,Nf6,Nc3,dxc4,Bxc4,b5
Time forfeit,Blitz,180+0,469,A46,Indian Game: London System,d4,Nf6,Nf3,e6,Bf4,b6,e3,Bb7,Nbd2,Be7 
Time forfeit,Blitz,180+0,465,A35,"English Opening: Symmetrical Variation,Four Knights Variation",Nf3,Nf6,c4,c5,Nc3,Nc6,g3,e6,Bg2,Be7
Normal,Blitz,180+2,463,A28,"English Opening: King's English Variation,Four Knights Variation,Quiet Line #3",c4,e5,Nc3,Nf6,Nf3,Nc6,e3,d5,cxd5,Nxd5
Normal,Blitz,180+0,462,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,e4,c5,Nf3,Nc6,Bb5,d6,O-O,e5,c3,Bg4
Normal,Blitz,180+0,461,A45,Indian Game,d4,Nf6,Bf4,c5,d5,b5,f3,d6,e4,b4
Normal,Blitz,180+0,460,E42,"Nimzo-Indian Defense: Huebner Variation,Rubinstein Variation",d4,Nf6,c4,e6,Nc3,Bb4,e3,c5,Ne2,O-O
Normal,Blitz,180+0,459,D02,Queen's Pawn Game: London System,d4,d5,Nf3,Nf6,Bf4,Bf5,e3,Nbd7,c4,c6 
Normal,Blitz,180+0,457,D15,Slav Defense: Three Knights Variation,d4,d5,c4,c6,Nc3,Nf6,Nf3,Bg4,Qb3,Qc7
Normal,Classical,600+0,457,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,Bg5,Nbd7
Normal,Blitz,180+0,456,A45,Trompowsky Attack,d4,Nf6,Bg5,Ne4,Bf4,c5,f3,g5,Bc1,Nf6 
Normal,Blitz,180+0,454,A45,Indian Game,d4,Nf6,Bf4,c5,d5,b5,f3,d6,e4,g6
Normal,Blitz,180+0,451,A46,Torre Attack,d4,Nf6,Nf3,e6,Bg5,c5,e3,Nc6,c3,d5
Time forfeit,Blitz,180+0,451,C53,Italian Game: Bird's Attack,e4,e5,Nf3,Nc6,Bc4,Bc5,c3,Nf6,b4,Bb6
Normal,Blitz,180+2,450,A10,English Opening: Anglo-Dutch Defense,c4,f5,g3,Nf6,Bg2,g6,d4,Bg7,Nc3,O-O
Normal,Blitz,180+0,445,B22,"Sicilian Defense: Alapin Variation,Smith-Morra Declined",e4,c5,d4,cxd4,c3,Nf6,e5,Nd5,Nf3,e6
Normal,Blitz,180+0,445,A49,Zukertort Opening: Gruenfeld Reversed,Nf3,d5,g3,c5,Bg2,Nc6,O-O,e6,d4,c4
Normal,Blitz,180+0,440,D43,Semi-Slav Defense,d4,d5,c4,c6,Nc3,Nf6,Nf3,e6,Qc2,Nbd7
Time forfeit,Blitz,180+0,440,C50,Giuoco Piano,e4,e5,Nf3,Nc6,Bc4,Bc5,O-O,Nf6,d3,d6
Normal,Blitz,180+0,439,A31,"English Opening: Symmetrical Variation,Anti-Benoni Variation",c4,c5,Nf3,Nf6,d4,cxd4,Nxd4,e5,Nb5,a6
Time forfeit,Blitz,180+2,434,D89,"Gruenfeld Defense: Exchange Variation,Spassky Variation",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,e4,Nxc3
Normal,Blitz,180+0,431,B15,Caro-Kann Defense,e4,c6,d4,d5,Nc3,Nf6,e5,Nfd7,f4,e6 
Normal,Classical,480+0,431,A00,Gedult's Opening,f3,d5,f4,Nf6,Nf3,Bf5,g3,e6,Bg2,Bd6 
Normal,Blitz,180+0,431,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,Bg5,Be7
Normal,Classical,600+0,430,B20,Sicilian Defense,e4,c5,black,,,,,,,
Normal,Blitz,180+0,429,B16,Caro-Kann Defense: Bronstein-Larsen Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,gxf6 
Normal,Blitz,180+0,429,C27,Vienna Game,e4,e5,Nc3,d6,Bc4,Be6,Bb3,Bxb3,axb3,Nc6
Normal,Blitz,180+0,429,B00,King's Pawn,e4,01/01/00,,,,,,,,
Normal,Blitz,180+0,428,B03,Alekhine Defense: Exchange Variation,e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,exd6,cxd6
Time forfeit,Classical,600+0,428,B40,"Sicilian Defense: French Variation,Normal",e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,Bd3,Nc6
Normal,Blitz,180+0,425,B53,Sicilian Defense: Chekhover Variation,e4,c5,Nf3,d6,d4,cxd4,Qxd4,Nf6,e5,Nc6 
Time forfeit,Blitz,180+2,425,D89,"Gruenfeld Defense: Exchange Variation,Spassky Variation",d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,e4,Nxc3
Time forfeit,Blitz,180+0,424,A20,English Opening: King's English Variation,c4,e5,b3,Nc6,Bb2,f5,Nf3,d6,d4,e4
Time forfeit,Classical,480+1,423,B22,"Sicilian Defense: Alapin Variation,Smith-Morra Declined",e4,c5,c3,Nf6,e5,Nd5,d4,cxd4,Nf3,Nc6 
Normal,Blitz,180+0,422,B22,"Sicilian Defense: Alapin Variation,Barmen Defense",e4,c5,c3,d5,exd5,Qxd5,d4,cxd4,cxd4,Nf6
Normal,Blitz,180+0,421,D11,Slav Defense: Modern,c4,c6,d4,d5,Nf3,Nf6,Qc2,b6,Nc3,Bb7
Normal,Blitz,300+0,420,A52,Budapest Defense: Rubinstein Variation,d4,Nf6,c4,e5,dxe5,Ng4,Bf4,Nc6,Nf3,Bb4+
Normal,Blitz,180+2,419,A52,Budapest Defense: Adler Variation,d4,Nf6,c4,e5,dxe5,Ng4,Nf3,Nc6,Bf4,Bb4+
Normal,Blitz,180+0,418,B15,Caro-Kann Defense: Tartakower Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,exf6
Normal,Blitz,180+0,417,C58,"Italian Game: Two Knights Defense,Polerio Defense,Bishop Check Line",e4,e5,Nf3,Nf6,Bc4,Nc6,Ng5,d5,exd5,Na5 
Normal,Blitz,240+0,417,B20,Sicilian Defense: Staunton-Cochrane Variation,c4,c5,e4,Nc6,Nc3,g6,Be2,Bg7,d3,e6
Normal,Blitz,180+0,416,C05,"French Defense: Tarrasch Variation,Closed Variation",e4,e6,d4,d5,Nd2,Nf6,e5,Ng8,f4,c5 
Normal,Blitz,300+0,415,B12,"Caro-Kann Defense: Advance Variation,Tal Variation",e4,c6,d4,d5,e5,Bf5,h4,h5,Bg5,Qa5+
Normal,Blitz,180+0,415,B28,"Sicilian Defense: O'Kelly Variation,Venice System",e4,c5,Nf3,a6,c3,e6,b3,d5,exd5,exd5
Normal,Classical,480+0,414,C66,"Ruy Lopez: Berlin Defense,Improved Steinitz Defense",e4,e5,Nf3,Nc6,Bb5,Nf6,O-O,d6,d4,a6 
Normal,Blitz,180+0,414,E10,Indian Game: Anti-Nimzo-Indian,d4,Nf6,c4,e6,Nf3,Be7,Nc3,b6,e4,Bb7
Normal,Blitz,180+0,413,C02,"French Defense: Advance Variation,Euwe Variation",e4,e6,d4,d5,e5,c5,c3,Nc6,Nf3,Bd7
Normal,Blitz,180+0,413,C53,"Italian Game: Classical Variation,La Bourdonnais Variation",e4,Nc6,Nf3,e5,Bc4,Bc5,c3,d6,d4,exd4
Normal,Blitz,180+2,412,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,e6,c4,Nf6,Nc3,d5,cxd5,exd5,Bg5,Nbd7 
Normal,Blitz,180+0,411,D12,"Slav Defense: Quiet Variation,Pin Defense",d4,c6,c4,d5,e3,Nf6,Nf3,Bg4,h3,Bh5
Normal,Blitz,180+0,411,C02,"French Defense: Advance Variation,Paulsen Attack",e4,e6,d4,d5,e5,c5,c3,Nc6,Nf3,cxd4
Normal,Blitz,180+2,410,A58,"Benko Gambit Accepted,Fully Accepted Variation",d4,Nf6,c4,c5,d5,b5,cxb5,a6,bxa6,g6 
Normal,Blitz,240+0,409,A45,Paleface Attack,d4,Nf6,f3,e6,e4,d5,e5,Nfd7,f4,c5 
Normal,Classical,600+0,409,C69,"Ruy Lopez: Exchange Variation,Gligoric Variation",e4,e5,Nf3,Nc6,Bb5,a6,Bxc6,dxc6,O-O,f6 
Normal,Blitz,180+0,407,A45,Trompowsky Attack,d4,Nf6,Bg5,d5,Bxf6,exf6,e3,c6,c4,dxc4
Normal,Blitz,300+0,405,B23,Sicilian Defense: Closed Variation,e4,c5,Nc3,d6,f4,Nf6,Nf3,g6,Bb5,Nc6
Normal,Blitz,180+0,404,B00,Nimzowitsch Defense: Williams Variation,e4,Nc6,Nf3,d6,d4,Nf6,Nc3,g6,h3,Bg7
Time forfeit,Blitz,180+0,404,A01,Nimzo-Larsen Attack,b3,e6,Bb2,d5,e3,Nf6,Nf3,b6,Be2,Bb7
Normal,Blitz,180+0,402,A43,Old Benoni Defense,d4,c5,Nf3,cxd4,Nxd4,e6,Nc3,Nc6,Nxc6,bxc6
Normal,Blitz,180+0,400,C10,French Defense: Rubinstein Variation,e4,e6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,Qxf6
Normal,Blitz,300+0,399,A01,Nimzo-Larsen Attack,b3,d6,Bb2,Nd7,e3,Ngf6,f4,g6,Nf3,Bg7
Time forfeit,Blitz,180+0,398,C02,"French Defense: Advance Variation,Paulsen Attack",e4,c5,c3,e6,d4,d5,e5,Nc6,Nf3,Nge7
Normal,Blitz,180+0,397,C53,Italian Game: Bird's Attack,e4,e5,Nf3,Nc6,Bc4,Bc5,c3,Nf6,b4,Bb6 
Normal,Classical,600+0,395,C62,Ruy Lopez: Steinitz Defense,e4,e5,Nf3,Nc6,Bb5,d6,d4,exd4,Nxd4,Bd7
Normal,Correspondence,-0,393,A40,English Defense #2,d4,b6,e4,Bb7,Bd3,e6,Qe2,g6,Nf3,d6
Normal,Blitz,180+0,392,E00,Amar Opening,Nh3,e5,g3,d5,Bg2,Nf6,O-O,Be7,f4,O-O
Normal,Blitz,180+0,390,E77,King's Indian Defense: Six Pawns Attack,e4,g6,d4,Bg7,c4,d6,Nc3,Nf6,Be3,O-O
Normal,Blitz,180+0,390,B40,"Sicilian Defense: French Variation,Westerinen Attack",e4,c5,Nf3,e6,b3,Nc6,Bb2,d6,d4,cxd4
Normal,Classical,480+0,389,A00,Van't Kruijs Opening,e3,e5,Ne2,Nc6,g3,d5,Bg2,Be6,O-O,Qd7 
Time forfeit,Blitz,180+4,389,A01,Nimzo-Larsen Attack: Modern Variation #2,b3,e5,Bb2,d6,e3,g6,f4,Bg7,Nf3,Nd7 
Time forfeit,Classical,600+0,387,D01,Queen's Pawn Game: Chigorin Variation,d4,Nf6,Nc3,d5,Bf4,a6,e3,Nbd7,Nf3,e6 
Time forfeit,Classical,480+0,387,B22,"Sicilian Defense: Alapin Variation,Barmen Defense",e4,c5,c3,d5,exd5,Qxd5,d4,Nf6,Nf3,e6 
Time forfeit,Blitz,180+0,387,A39,"English Opening: Symmetrical Variation,Mecking Variation",Nf3,c5,c4,Nf6,Nc3,g6,g3,Bg7,Bg2,O-O
Time forfeit,Blitz,180+0,386,B06,Modern Defense: Standard Line,e4,g6,d4,Bg7,Nc3,Nf6,e5,Ng8,Nf3,d6
Normal,Blitz,300+0,385,A01,Nimzo-Larsen Attack: Modern Variation #2,b3,e5,Bb2,f6,e4,Bc5,Bc4,Nh6,Qh5,Kf8
Normal,Blitz,180+0,385,B00,Nimzowitsch Defense: Williams Variation,e4,d6,Nf3,Nc6,Nc3,e5,d4,Nf6,dxe5,Ng4
Normal,Blitz,180+2,384,A28,"English Opening: King's English Variation,Four Knights Variation,Quiet Line #3",c4,Nf6,Nc3,e5,Nf3,Nc6,e3,d5,cxd5,Nxd5
Normal,Blitz,180+0,381,B13,Caro-Kann Defense: Exchange Variation,e4,d5,exd5,c6,d4,Nf6,Nf3,Nxd5,Be2,Bf5
Time forfeit,Blitz,180+0,380,E40,"Nimzo-Indian Defense: Normal Variation,Taimanov Variation",d4,Nf6,c4,e6,Nc3,Bb4,e3,Nc6,Ne2,O-O
Normal,Classical,300+10,378,C00,French Defense: Knight Variation,e4,e6,Nf3,d5,exd5,exd5,d4,Nf6,Bd3,Bd6 
Normal,Blitz,180+0,377,B20,Sicilian Defense: Snyder Variation,e4,c5,b3,e6,Bb2,d5,Nc3,Nf6,e5,Nfd7
Time forfeit,Blitz,180+0,376,C50,Italian Game: Hungarian Defense,e4,e5,Nf3,Nc6,Bc4,Be7,O-O,Nf6,Nc3,O-O
Normal,Blitz,300+0,375,D11,Slav Defense: Modern,d4,Nf6,c4,c6,Nf3,d5,g3,Bf5,Nc3,e6
Time forfeit,Classical,480+0,375,D06,Queen's Gambit Refused: Marshall Defense,d4,d5,c4,Nf6,cxd5,Qxd5,Nc3,Qa5,Qc2,Nc6
Time forfeit,Blitz,180+0,374,A01,Nimzo-Larsen Attack: Modern Variation #2,b3,e5,Bb2,d6,e3,Nc6,d4,e4,d5,Nce7
Time forfeit,Blitz,180+0,373,C41,Philidor Defense #3,e4,e5,Nf3,d6,Bc4,c6,c3,Nf6,d3,Be7
Normal,Blitz,180+0,372,A41,Old Indian Defense,d4,d6,c4,h6,e3,Nf6,Nf3,b6,Be2,Bb7
Normal,Blitz,180+0,372,A21,"English Opening: King's English Variation,Reversed Sicilian",c4,e5,Nc3,f5,Nf3,d6,d4,e4,Ng5,Nf6
Normal,Blitz,180+0,371,C60,Ruy Lopez: Cozio Defense,e4,e5,Nf3,Nc6,Bb5,Nge7,O-O,Ng6,d3,Be7
Time forfeit,Blitz,180+0,370,B15,Caro-Kann Defense: Tartakower Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nf6,Nxf6,exf6
Normal,Blitz,180+0,369,B30,Sicilian Defense: Old Sicilian,e4,c5,Nf3,Nc6,Be2,g6,O-O,Bg7,d3,d5 
Normal,Blitz,300+0,368,D15,Slav Defense: Schlechter Variation,d4,c6,c4,d5,Nf3,Nf6,Nc3,g6,Bf4,Bg7 
Normal,Blitz,180+0,368,A10,English Opening,c4,a5,d4,d6,e4,e5,dxe5,dxe5,Qxd8,Kxd8
Normal,Blitz,180+0,368,C04,"French Defense: Tarrasch Variation,Guimard Defense,Main Line",d4,e6,e4,d5,Nd2,Nc6,Ngf3,Nf6,e5,Nd7
Time forfeit,Blitz,180+0,368,B06,Robatsch (Modern) Defense,e4,g6,d4,Bg7,c4,e6,Nc3,Ne7,Be3,O-O
Normal,Blitz,180+0,367,B01,Scandinavian Defense: Gubinsky-Melts Defense,e4,d5,exd5,Qxd5,Nc3,Qd6,Nf3,Nf6,d4,c6
Normal,Classical,600+5,366,B22,"Sicilian Defense: Alapin Variation,Barmen Defense,Modern Line",e4,c5,c3,d5,exd5,Qxd5,d4,Nf6,Nf3,Bg4 
Normal,Blitz,300+0,366,D35,Queen's Gambit Declined: Exchange Variation,d4,d5,c4,e6,Nc3,Nf6,cxd5,Nxd5,e4,Nb6
Time forfeit,Blitz,180+0,366,A01,Nimzo-Larsen Attack: Classical Variation,b3,d5,Bb2,Nc6,e3,e5,Bb5,Bd6,Nf3,e4
Normal,Blitz,300+0,365,A49,Zukertort Opening: Double Fianchetto Attack,b3,Nf6,Bb2,g6,g3,Bg7,Bg2,O-O,Nf3,d6
Normal,Blitz,180+0,365,B40,Sicilian Defense: French Variation,e4,c5,Nf3,e6,Nc3,Nc6,Bb5,d6,O-O,Bd7
Time forfeit,Blitz,180+0,365,D02,Queen's Pawn Game: Zukertort Variation,d4,d5,Nf3,Bf5,Bf4,e6,e3,Bd6,Bg3,Nf6
Time forfeit,Blitz,180+0,364,C10,"French Defense: Rubinstein Variation,Blackburne Defense",e4,e6,d4,d5,Nc3,dxe4,Nxe4,Nd7,Nf3,Ngf6
Time forfeit,Blitz,300+0,363,D11,Slav Defense: Modern,d4,c6,c4,d5,Nf3,Nf6,g3,Bf5,Bg2,e6
Normal,Blitz,300+0,362,B22,Sicilian Defense: Alapin Variation,e4,c5,c3,e5,Nf3,Nc6,Bb5,f6,O-O,Nge7
Normal,Blitz,180+0,362,B90,"Sicilian Defense: Najdorf Variation,English Attack",e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Blitz,180+0,361,A01,Nimzo-Larsen Attack: English Variation,b3,c5,Bb2,Nc6,f4,e5,fxe5,Nxe5,Bxe5,Nf6 
Normal,Blitz,180+0,360,A10,English Opening: Great Snake Variation,c4,g6,d4,Bg7,Nc3,f5,g4,fxg4,h3,gxh3 
Normal,Classical,480+0,360,B06,"Modern Defense: Two Knights Variation,Suttles Variation",e4,g6,d4,Bg7,Nf3,d6,Nc3,c6,a3,b5
Normal,Blitz,180+0,359,A45,Indian Game,d4,Nf6,Nc3,e6,e4,Bb4,e5,Nd5,Bd2,c5
Normal,Blitz,180+0,358,B01,Scandinavian Defense: Mieses-Kotroc Variation,e4,d5,exd5,Qxd5,Qf3,Qxf3,Nxf3,Nf6,b3,Bg4
Normal,Blitz,300+0,357,D31,Semi-Slav Defense: Accelerated Move Order,d4,d5,c4,e6,Nc3,c6,e3,f5,Qc2,Nf6 
Normal,Blitz,300+3,357,A41,Modern Defense,d4,d6,c4,g6,Nc3,Bg7,Nf3,Nd7,Bg5,c5
Normal,Blitz,300+0,356,B07,Czech Defense,e4,d6,d4,Nf6,Nc3,c6,Nf3,Bg4,Be2,e6
Time forfeit,Classical,600+0,356,C45,Scotch Game,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Nge7,Nc3,Nxd4 
Time forfeit,Blitz,180+0,355,B38,"Sicilian Defense: Accelerated Dragon,Maroczy Bind",e4,c5,c4,Nc6,Ne2,g6,d4,cxd4,Nxd4,Bg7
Normal,Blitz,300+0,354,D15,Slav Defense: Three Knights Variation,d4,d5,c4,c6,Nf3,Nf6,Nc3,Nbd7,Bf4,a6
Normal,Blitz,180+0,354,D11,Slav Defense: Modern,d4,d5,c4,c6,Nf3,Nf6,g3,dxc4,Bg2,Bg4
Normal,Classical,600+0,354,B40,Sicilian Defense: Pin Variation,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,Nc3,Bb4
Normal,Blitz,180+0,353,B01,Scandinavian Defense,e4,d5,d3,dxe4,dxe4,Qxd1,Kxd1,Nc6,c3,f5
Normal,Blitz,180+2,352,B07,Czech Defense,d4,d6,e4,Nf6,Nc3,c6,Nf3,Bg4,Be2,e6
Normal,Classical,300+8,351,A08,King's Indian Attack,Nf3,d5,g3,Nf6,Bg2,Nc6,d4,Bg4,Nbd2,Qd7
Normal,Blitz,180+0,351,C45,"Scotch Game: Classical Variation,Intermezzo Variation",e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Nxc6,Qf6
Normal,Blitz,180+1,351,E20,Nimzo-Indian Defense: Ragozin Variation,d4,d5,Nf3,Nf6,c4,e6,Nc3,Bb4,cxd5,exd5
Normal,Blitz,180+0,350,B06,Modern Defense: Pseudo-Austrian Attack,e4,g6,d4,Bg7,Nc3,d6,f4,a6,Nf3,b5
Normal,Blitz,180+0,350,C14,"French Defense: Classical Variation,Steinitz Variation",d4,e6,e4,d5,Nc3,Nf6,Bg5,Be7,e5,Nfd7
Normal,Blitz,180+0,350,C40,King's Pawn Game: Busch-Gass Gambit,e4,e5,Nf3,Bc5,Nc3,d6,Be2,Nf6,O-O,Ng4
Normal,Classical,480+0,349,A45,Trompowsky Attack,d4,Nf6,Bg5,g6,Nc3,Bg7,Qc1,O-O,Bh6,d5
Normal,Blitz,180+0,349,C53,Italian Game: Classical Variation #2,e4,e5,Nf3,Nc6,Bc4,Bc5,c3,a6,d4,exd4
Time forfeit,Classical,600+0,349,A45,Indian Game,d4,Nf6,Nc3,g6,Bf4,Bg7,e4,O-O,h3,c6 
Normal,Blitz,300+0,347,A43,Old Benoni Defense,d4,c5,c4,cxd4,Nf3,Nc6,Nxd4,g6,Nc3,Bg7 
Normal,Blitz,180+0,347,A45,Indian Game,d4,Nf6,Nc3,e6,e4,Bb4,e5,Nd5,Bd2,c5
Normal,Blitz,180+0,347,C40,"Latvian Gambit Accepted,Bilguer Variation",e4,e5,Nf3,f5,Nxe5,Qf6,d4,d6,Nc4,fxe4
Normal,Blitz,300+0,346,E30,Nimzo-Indian Defense: Leningrad Variation,d4,Nf6,c4,e6,Nc3,Bb4,Bg5,c5,Nf3,Qa5
Normal,Blitz,180+3,346,C26,Vienna Game: Mieses Variation,e4,e5,Nc3,Nf6,g3,d5,exd5,Nxd5,Qf3,Nxc3
Normal,Blitz,180+0,345,B21,"Sicilian Defense: Smith-Morra Gambit Declined,Push Variation",e4,c5,d4,cxd4,c3,d3,Bxd3,Nc6,Nf3,d6
Normal,Classical,600+0,345,B10,Caro-Kann Defense: Two Knights Attack,e4,c6,Nc3,d5,Nf3,dxe4,Nxe4,Bf5,Ng3,Bg6
Normal,Blitz,180+0,345,B10,Caro-Kann Defense,e4,c6,Nf3,d5,exd5,cxd5,d4,Bg4,Bd3,Nf6
Normal,Blitz,180+0,345,C50,Italian Game: Hungarian Defense,e4,e5,Nf3,Nc6,Bc4,Be7,O-O,Bf6,c3,Nge7
Time forfeit,Classical,600+0,345,A40,Horwitz Defense,d4,e6,Nf3,d5,g3,c5,Bg2,Qb6,c3,Nc6 
Normal,Blitz,180+0,344,A01,Nimzo-Larsen Attack: Modern Variation #2,b3,e5,Bb2,d6,e3,f5,d4,e4,c4,Nf6
Normal,Classical,600+0,344,A30,English Opening: Symmetrical Variation,c4,c5,g3,Nc6,Bg2,e6,Nc3,Nf6,e3,d5
Normal,Blitz,300+0,344,B61,"Sicilian Defense: Richter-Rauzer Variation,Modern Variation",e4,c5,Nf3,d6,Nc3,Nc6,d4,cxd4,Nxd4,Nf6
Normal,Classical,600+0,343,A09,Reti Opening: Advance Variation,Nf3,d5,c4,d4,b4,Bg4,Ne5,Bf5,g4,Bd7 
Normal,Classical,600+0,343,B90,Sicilian Defense: Najdorf Variation,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Classical,600+0,343,A13,English Opening: Agincourt Defense #3,c4,e6,Nf3,Nf6,g3,c5,Bg2,Nc6,O-O,Be7
Time forfeit,Blitz,180+0,343,C10,French Defense: Paulsen Variation,e4,e6,d4,d5,Nc3,c6,Nf3,f5,exf5,exf5 
